iter	Passed	Remaining
0	8	207853
1	16	212191
2	25	212537
3	34	214842
4	43	216051
5	54	225748
6	63	226703
7	70	219845
8	79	219691
9	85	212770
10	94	214072
11	102	214152
12	110	211825
13	118	211788
14	127	212582
15	137	214621
16	150	220499
17	158	219880
18	171	224880
19	180	225005
20	190	227052
21	204	231676
22	215	234200
23	224	233717
24	233	232840
25	241	232247
26	250	231691
27	259	231227
28	267	230580
29	276	230279
30	285	229862
31	293	229101
32	303	229321
33	311	228928
34	316	226003
35	326	226337
36	335	226100
37	343	225688
38	352	225386
39	360	224933
40	367	223460
41	375	223323
42	384	223168
43	393	223222
44	402	223084
45	411	223256
46	420	223112
47	428	222864
48	437	222880
49	446	222853
50	455	222882
51	464	223083
52	473	223097
53	482	222810
54	491	222871
55	499	222700
56	508	222525
57	517	222573
58	526	222443
59	532	221248
60	541	221424
61	550	221338
62	558	221253
63	567	221109
64	576	221027
65	585	221115
66	594	221300
67	603	221296
68	612	221372
69	621	221285
70	630	221266
71	638	221193
72	645	220451
73	654	220362
74	663	220405
75	671	220307
76	680	220239
77	688	220116
78	697	219945
79	705	219828
80	715	219979
81	724	220299
82	733	220228
83	742	220310
84	751	220335
85	760	220333
86	769	220325
87	777	220186
88	786	220167
89	794	219988
90	804	220084
91	809	219144
92	818	219184
93	827	219276
94	836	219370
95	845	219452
96	854	219480
97	863	219379
98	872	219331
99	880	219311
100	889	219339
101	896	218789
102	905	218779
103	913	218795
104	922	218764
105	931	218695
106	940	218761
107	949	218736
108	957	218561
109	962	217852
110	971	217918
111	980	217906
112	989	217872
113	997	217808
114	1002	216980
115	1011	216944
116	1020	217108
117	1030	217388
118	1036	216695
119	1043	216280
120	1050	215940
121	1055	215301
122	1064	215345
123	1073	215409
124	1082	215504
125	1091	215510
126	1100	215562
127	1109	215528
128	1117	215510
129	1126	215523
130	1135	215654
131	1144	215693
132	1154	215771
133	1162	215695
134	1176	216719
135	1185	216760
136	1194	216808
137	1203	216819
138	1212	216861
139	1221	216840
140	1227	216477
141	1236	216415
142	1245	216428
143	1253	216354
144	1262	216352
145	1270	216311
146	1279	216306
147	1287	216276
148	1296	216280
149	1305	216266
150	1318	216991
151	1327	216973
152	1335	216895
153	1344	216938
154	1353	216876
155	1361	216897
156	1369	216776
157	1378	216784
158	1387	216777
159	1396	216839
160	1405	216846
161	1414	216840
162	1423	216890
163	1432	216936
164	1441	216925
165	1449	216892
166	1458	216898
167	1467	216843
168	1475	216779
169	1484	216797
170	1493	216865
171	1501	216795
172	1510	216739
173	1519	216757
174	1528	216793
175	1537	216822
176	1546	216820
177	1554	216803
178	1563	216826
179	1572	216837
180	1581	216845
181	1590	216863
182	1599	216855
183	1607	216865
184	1616	216866
185	1625	216878
186	1634	216895
187	1643	216918
188	1652	216901
189	1661	216908
190	1669	216897
191	1678	216897
192	1686	216831
193	1695	216836
194	1704	216766
195	1714	216943
196	1725	217197
197	1734	217214
198	1743	217308
199	1752	217342
200	1761	217313
201	1769	217267
202	1778	217264
203	1787	217283
204	1796	217275
205	1805	217278
206	1813	217228
207	1823	217294
208	1831	217261
209	1840	217300
210	1849	217339
211	1860	217508
212	1869	217512
213	1878	217570
214	1887	217597
215	1896	217636
216	1906	217687
217	1914	217635
218	1923	217621
219	1931	217603
220	1941	217655
221	1950	217659
222	1958	217635
223	1967	217652
224	1976	217589
225	1985	217643
226	1994	217713
227	2003	217688
228	2012	217693
229	2021	217719
230	2030	217699
231	2040	217831
232	2048	217795
