station,lat,lon
西巣鴨駅,35.7436944,139.7285589
勝どき駅,35.6589788,139.7771495
笹塚駅,35.673654,139.667136
高円寺駅,35.7053457,139.6499291
京成金町駅,35.7686132,139.8704048
南千住駅,35.7333194,139.7990561
大泉学園駅,35.7495482,139.5865493
学芸大学駅,35.6288624,139.6853301
東大前駅,35.7178183,139.7580152
板橋駅,35.7455637,139.7200238
西馬込駅,35.5868252,139.7059056
京成小岩駅,35.7422078,139.8835869
表参道駅,35.6652511,139.7120921
阿佐ケ谷駅,35.704872,139.6358594
錦糸町駅,35.6967393,139.8144835
幡ケ谷駅,35.6770576,139.6761859
上板橋駅,35.7636165,139.6761869
一之江駅,35.685936,139.882978
四ツ谷駅,35.6861525,139.7302183
水天宮前駅,35.68299,139.785153
沼袋駅,35.719315,139.6644193
御茶ノ水駅,35.6993854,139.7652479
月島駅,35.663861,139.7840845
大森(東京都)駅,35.5884467,139.7278683
江戸川駅,35.7376627,139.8960845
千川駅,35.7382658,139.6893487
新御徒町駅,35.7070621,139.7819476
六町駅,35.7848987,139.8216325
船堀駅,35.6837972,139.863952
代々木上原駅,35.6690026,139.6797332
雑司が谷駅,35.7202997,139.7147177
小岩駅,35.7329576,139.8818625
等々力駅,35.6083487,139.648072
千駄ケ谷駅,35.6811956,139.7112808
亀有駅,35.766538,139.847533
鶯谷駅,35.7214573,139.7780133
東長崎駅,35.7303273,139.6829125
金町(東京都)駅,35.769538,139.870476
飯田橋駅,35.7020837,139.7450232
本所吾妻橋駅,35.7085984,139.8045672
池上駅,35.5720944,139.7029729
保谷駅,35.7483557,139.5676
三ノ輪駅,35.7296256,139.7913624
京成曳舟駅,35.718101,139.8196323
渋谷駅,35.6580339,139.7016358
江古田駅,35.737481,139.672744
初台駅,35.6809863,139.6861815
祖師ケ谷大蔵駅,35.643298,139.6095157
浅草駅,35.7107924,139.7977621
桜新町駅,35.6318735,139.6450254
都立大学駅,35.6177525,139.6763956
亀戸駅,35.6973225,139.8265658
新富町(東京都)駅,35.6705851,139.7735117
東日本橋駅,35.69215519999999,139.7848473
田端駅,35.7381581,139.7608154
梅屋敷(東京都)駅,35.5668067,139.728246
成城学園前駅,35.6401283,139.5990873
西小山駅,35.6156922,139.6988653
蒲田駅,35.5624794,139.7160731
綾瀬駅,35.762315,139.824924
雪が谷大塚駅,35.5919356,139.6810018
中野富士見町駅,35.69057410000001,139.6669514
西日暮里駅,35.73200569999999,139.7668856
王子駅,35.7524101,139.7381896
大塚(東京都)駅,35.7318309,139.7281112
新江古田駅,35.7325921,139.6704387
篠崎駅,35.7059504,139.9039271
大島(東京都)駅,35.68974,139.834371
西新井駅,35.777174,139.790427
日暮里駅,35.7281578,139.7706414
志村坂上駅,35.7757692,139.6953874
中野(東京都)駅,35.7057972,139.6657777
成増駅,35.7774107,139.6331494
梅ケ丘駅,35.6560169,139.6536376
恵比寿駅,35.6467139,139.7100777
木場(東京都)駅,35.6693678,139.8067878
池袋駅,35.7295028,139.7109001
押上駅,35.710332,139.8132971
熊野前(舎人ライナー)駅,35.7485267,139.7698487
荻窪駅,35.7045751,139.6200629
