location, lat, lon

東京都北区滝野川３丁目,35.74845639999999,139.7287997
東京都中央区月島３丁目,35.6628846,139.7786272
東京都渋谷区笹塚２丁目,35.6751534,139.6662552
東京都杉並区高円寺南２丁目23-2,35.7001698,139.648465
東京都葛飾区金町３丁目7-2,35.7664313,139.8723205
東京都荒川区南千住５丁目,35.7338218,139.7952457
東京都練馬区東大泉３丁目,35.7529924,139.5878492
東京都目黒区鷹番１丁目,35.6259957,139.6866706
東京都文京区向丘１丁目,35.7194987,139.7559441
東京都板橋区板橋４丁目,35.7512308,139.7185838
東京都大田区西馬込１丁目30-8,35.58844,139.7047394
東京都江戸川区北小岩３丁目,35.7370089,139.8950539
東京都港区南青山６丁目,35.6607393,139.7160301
東京都杉並区阿佐谷南３丁目６－５,35.7009658,139.6324425
東京都墨田区緑４丁目,35.6944971,139.8073929
東京都渋谷区幡ヶ谷３丁目39-4,35.6793042,139.6717971
東京都板橋区桜川３丁目10-12,35.7603926,139.6730507
東京都江戸川区西瑞江４丁目,35.6823722,139.8848095
東京都新宿区四谷三栄町,35.6885218,139.7259263
東京都中央区日本橋箱崎町27-9,35.6799478,139.7872008
東京都中野区江古田４丁目,35.7255225,139.6617903
東京都文京区湯島２丁目,35.7048255,139.7658469
東京都中央区佃１丁目,35.6690135,139.7824618
東京都大田区大森西１丁目,35.5770642,139.7249685
東京都江戸川区北小岩４丁目３８－２８,35.7392696,139.8963101
東京都豊島区千早４丁目32-3,35.7388678,139.684936
東京都台東区台東３丁目3-1,35.704008,139.7804004
東京都足立区綾瀬６丁目,35.770211,139.8259381
東京都江戸川区船堀４丁目,35.684407,139.866886
東京都渋谷区上原２丁目,35.6652521,139.6815661
東京都豊島区高田３丁目,35.7150215,139.7083697
東京都江戸川区中葛西７丁目,35.6563184,139.8656059
東京都葛飾区奥戸９丁目,35.7360629,139.8704062
東京都世田谷区等々力８丁目16-7,35.6153171,139.6493228
東京都新宿区大京町31-4,35.6812676,139.7142882
東京都葛飾区亀有２丁目33-5,35.7602048,139.847835
東京都練馬区石神井台３丁目6-3,35.7434744,139.5923275
東京都荒川区南千住１丁目,35.7334324,139.7914102
東京都豊島区南長崎５丁目,35.7276895,139.6828422
東京都葛飾区南水元１丁目7番10号,35.7747273,139.8569563
東京都文京区水道１丁目１２－１,35.7091344,139.7437115
東京都墨田区東駒形２丁目5-10,35.7054018,139.8020582
東京都大田区久が原５丁目2-10,35.57916540000001,139.6991464
東京都大田区久が原５丁目,35.5769651,139.6975192
東京都練馬区南大泉３丁目,35.7435005,139.5700153
東京都台東区日本堤１丁目,35.7261783,139.7990814
東京都墨田区京島３丁目20－15,35.7151853,139.8245974
東京都渋谷区宇田川町,35.661594,139.6981574
東京都練馬区豊玉上１丁目,35.7364291,139.667531
東京都新宿区西新宿３丁目,35.6849019,139.6904993
東京都世田谷区祖師谷６丁目18-8,35.6546339,139.60827
東京都練馬区旭丘１丁目59-4,35.7344484,139.6733078
東京都台東区浅草６丁目,35.7175091,139.80036
東京都世田谷区弦巻２丁目25-12,35.6353494,139.6522597
東京都目黒区緑が丘１丁目4-1,35.6120029,139.6791108
東京都江東区亀戸５丁目,35.698924,139.8284965
東京都中央区新富１丁目,35.6728298,139.7747928
東京都中央区東日本橋３丁目,35.6913384,139.7837401
東京都文京区本駒込４丁目,35.7317024,139.7556247
東京都大田区大森西４丁目17-14,35.571188,139.7239611
東京都世田谷区成城７丁目35-19,35.6494529,139.597007
東京都品川区荏原６丁目,35.612509,139.7045399
東京都大田区西蒲田７丁目54-7,35.562328,139.7090812
東京都足立区綾瀬３丁目,35.7644743,139.8259381
東京都大田区南雪谷１丁目3-1,35.5943859,139.6816262
東京都中野区南台２丁目52-8,35.6859717,139.669618
東京都荒川区西日暮里１丁目,35.7348024,139.7747928
東京都北区豊島２丁目7-6,35.7583431,139.7432428
東京都豊島区北大塚３丁目,35.7343045,139.7249685
東京都中野区江原町１丁目20-2,35.7272541,139.6751263
東京都江戸川区新堀１丁目38-5,35.7055488,139.8887808
東京都葛飾区東金町５丁目,35.7785797,139.8784076
東京都江東区北砂５丁目,35.6840631,139.832974
東京都文京区本郷６丁目,35.7132251,139.7581801
東京都足立区島根３丁目7-20,35.779221,139.7928022
東京都台東区谷中７丁目18-12,35.7271294,139.7685651
東京都板橋区小豆沢４丁目,35.7807206,139.7007103
東京都中野区中野３丁目,35.7034265,139.6624281
東京都杉並区阿佐谷北１丁目２７－９,35.7076454,139.6353183
東京都世田谷区弦巻５丁目,35.6368497,139.6394707
東京都北区西ケ原４丁目,35.7429948,139.7351855
東京都板橋区赤塚３丁目22-5,35.7754954,139.6368569
東京都世田谷区梅丘２丁目,35.6503276,139.651586
東京都渋谷区広尾１丁目,35.6492266,139.7137957
東京都江東区木場２丁目6-3,35.6693313,139.8030662
東京都豊島区池袋１丁目,35.736054,139.7121998
東京都墨田区押上２丁目,35.7139592,139.8144266
東京都荒川区東尾久５丁目,35.7477864,139.7671248
東京都杉並区天沼２丁目,35.708019,139.6254456
東京都北区豊島２丁目,35.7585647,139.7454042
東京都品川区南品川６丁目,35.61090009999999,139.73774
東京都墨田区横川５丁目,35.7046511,139.8169845
東京都江戸川区南小岩５丁目15-14,35.7260303,139.8812294
東京都中野区南台３丁目,35.6843278,139.6662552
東京都中野区南台５丁目23-10,35.6831416,139.6622221
東京都墨田区八広４丁目,35.7230345,139.8284965
東京都千代田区西神田２丁目,35.6985898,139.7553053
東京都江東区大島９丁目４－１,35.6913328,139.8449634
東京都杉並区荻窪１丁目21-18,35.6934977,139.6194715
東京都台東区谷中２丁目9-22,35.7234951,139.76536
東京都足立区東保木間２丁目,35.792935,139.8125082
東京都港区西麻布４丁目15,35.6588523,139.720978
東京都台東区浅草５丁目64-8,35.721976,139.7977229
東京都葛飾区奥戸６丁目9-10,35.7340393,139.8674044
東京都杉並区荻窪１丁目35-4,35.6945723,139.6198348
東京都北区滝野川６丁目,35.7452578,139.7236915
東京都港区新橋５丁目4-2,35.6641645,139.7539674
東京都江東区北砂４丁目,35.6781272,139.8310551
東京都豊島区長崎２丁目11-10,35.7276754,139.6925541
東京都杉並区大宮１丁目,35.6836278,139.6445716
東京都世田谷区中町３丁目,35.6148099,139.6445716
東京都大田区上池台５丁目,35.5926007,139.7007103
東京都江東区永代２丁目,35.6737457,139.7914102
東京都板橋区本町１－４,35.7591195,139.7109829
東京都中野区上高田２丁目16-15,35.7126967,139.6738973
東京都練馬区石神井町８丁目,35.7479463,139.5980424
東京都豊島区西巣鴨１丁目16-17,35.7381675,139.7245353
東京都品川区小山４丁目,35.6184697,139.7029442
東京都港区高輪１丁目4-6,35.6428341,139.7346775
東京都北区王子５丁目,35.7644627,139.7358241
東京都江東区大島７丁目,35.6925569,139.8412903
東京都世田谷区喜多見９丁目8-7,35.6380397,139.5875677
東京都江東区豊洲６丁目,35.6456038,139.7856575
東京都足立区千住旭町,35.74875919999999,139.8067535
東京都文京区小石川３丁目26-3,35.7125378,139.7502596
東京都足立区六月２丁目１３－１２,35.7860492,139.7932888
東京都葛飾区奥戸６丁目3,35.7313008,139.8687261
東京都練馬区大泉学園町７丁目,35.7735998,139.5878492
東京都目黒区鷹番２丁目,35.6288038,139.6879468
東京都文京区小石川４丁目1-10,35.7116226,139.744793
東京都世田谷区南烏山６丁目13-6,35.6669275,139.5973082
東京都港区海岸３丁目8-14,35.6372214,139.7529097
東京都大田区大森西５丁目,35.57119520000001,139.7275226
東京都大田区西馬込２丁目31-6,35.5845388,139.7037819
東京都北区赤羽台３丁目,35.78012510000001,139.7134765
東京都江戸川区東小松川４丁目,35.6894472,139.8636859
東京都練馬区豊玉上２丁目,35.73718059999999,139.6637038
東京都墨田区亀沢１丁目,35.6974834,139.7990814
東京都千代田区内神田１丁目16-1,35.6914911,139.7662725
東京都品川区西五反田１丁目,35.6246898,139.7227338
東京都世田谷区祖師谷３丁目,35.6447785,139.6050513
東京都豊島区上池袋１丁目37-22,35.7366024,139.7232327
東京都板橋区板橋３丁目1-8,35.7499988,139.7133992
東京都足立区梅田６丁目26-10,35.7677813,139.7973233
東京都江戸川区南葛西２丁目３－１,35.6545215,139.872817
東京都江東区平野１丁目2-2,35.6784575,139.7984118
東京都豊島区駒込３丁目,35.7379233,139.7454042
東京都江東区北砂１丁目6-3,35.6811286,139.8226885
東京都世田谷区上馬２丁目26-8,35.6389929,139.6672593
東京都江戸川区西葛西７丁目,35.6600196,139.860486
東京都墨田区東向島４丁目,35.725314,139.8169845
東京都大田区南雪谷５丁目,35.5891376,139.689223
東京都新宿区水道町4-5,35.7078866,139.7362576
東京都豊島区南大塚１丁目57-5,35.7305274,139.7319287
東京都新宿区西五軒町1-4,35.7055051,139.736838
